id,source,title,company,location,salary,url,published_at,created_at
"10004","dou.ua","Провідний архітектор ІТ-платформи та інфраструктури (Lead Platform, Infrastructure Architect)","ДП «ГУКОБ»","Київ","від $1500","https://jobs.dou.ua/companies/dp-gukob/vacancies/324998/","11 березня","2026-03-31 00:00:20"
"10003","dou.ua","Інженер експлуатації платформи (Kubernetes / PostgreSQL) — L2—L3","ДП «ГУКОБ»","Київ","від $700","https://jobs.dou.ua/companies/dp-gukob/vacancies/319081/","11 березня","2026-03-31 00:00:20"
"2256","djinni.co","Sales Manager / Account Executive (DevOps-as-a-Service)","DevopsVibe","Full Remote","$8","https://djinni.co/jobs/812139-sales-manager-account-executive-devops-as-a-s/","","2026-03-30 22:30:49"
"2094","djinni.co","Senior DevOps/FinOps","PointPay","Full Remote","$5800","https://djinni.co/jobs/808877-senior-devops-finops/","","2026-03-30 22:30:49"
"2083","djinni.co","DevOps Engineer/Lead (AWS)","PointPay","Full Remote","$6600","https://djinni.co/jobs/808303-devops-engineer-lead-aws/","","2026-03-30 22:30:49"
"2076","djinni.co","Strong Junior DevOps Engineer (Kubernetes/AWS/Docker)","partnerdevs","Full Remote","$1500","https://djinni.co/jobs/789883-strong-junior-devops-engineer-kubernetes-aws-/","","2026-03-30 22:30:49"
"2073","djinni.co","DevOps / System Administrator","Heidens Group","Full Remote","$1500","https://djinni.co/jobs/811391-devops-system-administrator/","","2026-03-30 22:30:49"
"2055","djinni.co","Middle DevOps Engineer","IBWT","Remote","$4000","https://djinni.co/jobs/813930-middle-devops-engineer/","","2026-03-30 22:30:49"
"2052","djinni.co","DevOps engineer (волонтерство)","Charity Lab Foundation","Full Remote","$300","https://djinni.co/jobs/677367-devops-engineer-volonterstvo-/","","2026-03-30 22:30:49"
"2051","djinni.co","Middle DevOps engineer","Електронне здоров'я","Full Remote","$2000","https://djinni.co/jobs/806301-middle-devops-engineer/","","2026-03-30 22:30:49"
"2043","djinni.co","DevOps","BlueBird Tech","Full Remote","$3000","https://djinni.co/jobs/814936-devops/","","2026-03-30 22:30:49"
"2040","djinni.co","DevOps Engineer","MASONS GROUP","Full Remote","$2500","https://djinni.co/jobs/812034-devops-engineer/","","2026-03-30 22:30:49"
"2022","djinni.co","DevOps for GCP/GKE with security skills","Pakurity","Full Remote","$4000","https://djinni.co/jobs/712562-devops-for-gcp-gke-with-security-skills/","","2026-03-30 22:30:49"
"2021","djinni.co","DevOps Engineer (Senior/Staff)","DualEntry","Full Remote","$13500","https://djinni.co/jobs/809664-devops-engineer-senior-staff/","","2026-03-30 22:30:49"
"2017","djinni.co","DevOps Engineer (Blockchain Infrastructure)","Obscura Compute","Full Remote","$3000","https://djinni.co/jobs/809635-devops-engineer-blockchain-infrastructure/","","2026-03-30 22:30:49"
"1992","djinni.co","AI RAG DevOps / Developer in AI SaaS Product Company","Pitch Avatar","Full Remote","$3500","https://djinni.co/jobs/797469-ai-rag-devops-developer-in-ai-saas-product-co/","","2026-03-30 22:30:49"
"1987","djinni.co","Senior DevOps Engineer (Hetzner / Kubernetes / GitOps)","Betarchitect","Full Remote","$5000","https://djinni.co/jobs/804618-senior-devops-engineer-hetzner-kubernetes-git/","","2026-03-30 22:30:49"
"1949","djinni.co","DevOps","Nooki","Full Remote","$3000","https://djinni.co/jobs/813608-devops/","","2026-03-30 22:30:49"
"1944","djinni.co","Senior DevOps Engineer (Azure Cloud)","SATEC","Full Remote","$5000","https://djinni.co/jobs/610724-senior-devops-engineer-azure-cloud-/","","2026-03-30 22:30:49"
"1939","djinni.co","Senior DevOps and Compliance Engineer","Revenueroll","Full Remote","$8300","https://djinni.co/jobs/774136-senior-devops-and-compliance-engineer/","","2026-03-30 22:30:49"
"1916","djinni.co","Senior DevOps Engineer","Adaptiq","Full Remote","$7500","https://djinni.co/jobs/814716-senior-devops-engineer/","","2026-03-30 22:30:49"
"1908","djinni.co","AI-Powered DevOps Engineer","Phokus (CodePhusion branch)","Full Remote","$5500","https://djinni.co/jobs/814878-ai-powered-devops-engineer/","","2026-03-30 22:30:49"
